dropped,n_pairs,n_tests,n_reject,rej_rate,median_z,d20,o20,d50,o50,n_diag,n_off,holds
(none) full-14,91,227500,2406,0.010575824175824176,0.7496353814780463,49,0,3,0,50,2450,True
CALTECH,78,195000,2170,0.011128205128205127,0.7511139868231457,49,0,6,0,50,2450,True
KKI,78,195000,1802,0.00924102564102564,0.7442208355168425,49,0,1,0,50,2450,True
LEUVEN_2,78,195000,2150,0.011025641025641025,0.7516745767580082,49,0,5,0,50,2450,True
MAX_MUN,78,195000,1739,0.008917948717948718,0.7508414969081862,48,0,1,0,50,2450,True
NYU,78,195000,2118,0.010861538461538462,0.7493379227901807,49,0,6,0,50,2450,True
PITT,78,195000,1919,0.00984102564102564,0.7481294390408681,49,0,1,0,50,2450,True
SDSU,78,195000,2285,0.011717948717948718,0.7569046856305162,49,0,7,0,50,2450,True
STANFORD,78,195000,2219,0.01137948717948718,0.749700088734149,49,0,7,0,50,2450,True
TRINITY,78,195000,2212,0.011343589743589743,0.7471962932389368,49,0,5,0,50,2450,True
UCLA_1,78,195000,1634,0.00837948717948718,0.7449368187652359,46,0,1,0,50,2450,True
UM_1,78,195000,2174,0.011148717948717949,0.7500633587808349,49,0,4,0,50,2450,True
UM_2,78,195000,2189,0.011225641025641026,0.7515763685813928,49,0,7,0,50,2450,True
USM,78,195000,2186,0.01121025641025641,0.7503814703879763,49,0,5,0,50,2450,True
YALE,78,195000,2223,0.0114,0.749215900022992,49,0,7,0,50,2450,True
