split,half,n_subj,n_pairs,n_tests,n_reject,rej_rate,median_z,d20,o20,d50,o50,n_diag,n_off,holds
0,A,368,91,227500,1703,0.007485714285714286,0.7377149489577248,40,0,1,0,50,2450,True
0,B,374,91,227500,1643,0.007221978021978022,0.7154623298267385,40,0,0,0,50,2450,True
1,A,368,91,227500,1580,0.006945054945054945,0.7153011178041719,38,0,0,0,50,2450,True
1,B,374,91,227500,1752,0.007701098901098901,0.7206496561979614,39,0,1,0,50,2450,True
2,A,368,91,227500,1644,0.007226373626373626,0.7299645106932544,38,0,1,0,50,2450,True
2,B,374,91,227500,1712,0.007525274725274725,0.7289062666004829,41,0,1,0,50,2450,True
3,A,368,91,227500,1511,0.006641758241758242,0.715710396741664,41,0,0,0,50,2450,True
3,B,374,91,227500,1653,0.007265934065934066,0.7215984964703577,42,0,0,0,50,2450,True
4,A,368,91,227500,1683,0.0073978021978021976,0.7288904100060203,43,0,1,0,50,2450,True
4,B,374,91,227500,1645,0.007230769230769231,0.7264305642508022,42,0,0,0,50,2450,True
5,A,368,91,227500,1599,0.007028571428571428,0.7212566335761323,42,0,1,0,50,2450,True
5,B,374,91,227500,1589,0.006984615384615384,0.7256771538724149,37,0,0,0,50,2450,True
6,A,368,91,227500,1655,0.007274725274725275,0.7336681355884533,40,0,1,0,50,2450,True
6,B,374,91,227500,1566,0.006883516483516484,0.7116819726014367,40,0,1,0,50,2450,True
7,A,368,91,227500,1542,0.006778021978021978,0.7230115284194403,39,0,0,0,50,2450,True
7,B,374,91,227500,1592,0.006997802197802197,0.7308308133415208,41,0,0,0,50,2450,True
8,A,368,91,227500,1562,0.006865934065934066,0.7143606878095424,39,0,1,0,50,2450,True
8,B,374,91,227500,1673,0.0073538461538461535,0.718292528050141,42,0,0,0,50,2450,True
9,A,368,91,227500,1674,0.007358241758241758,0.7252454141435211,41,0,1,0,50,2450,True
9,B,374,91,227500,1709,0.007512087912087912,0.7256029926181586,45,0,0,0,50,2450,True
10,A,368,91,227500,1551,0.006817582417582417,0.7173443114062238,39,0,1,0,50,2450,True
10,B,374,91,227500,1723,0.007573626373626374,0.7295347124960627,41,0,1,0,50,2450,True
11,A,368,91,227500,1543,0.006782417582417583,0.7284093084594878,38,0,1,0,50,2450,True
11,B,374,91,227500,1730,0.007604395604395605,0.7220420908193574,42,0,1,0,50,2450,True
12,A,368,91,227500,1606,0.007059340659340659,0.7196851174891703,39,0,0,0,50,2450,True
12,B,374,91,227500,1638,0.0072,0.7093575412922783,42,0,1,0,50,2450,True
13,A,368,91,227500,1559,0.006852747252747253,0.711047176062034,38,0,0,0,50,2450,True
13,B,374,91,227500,1722,0.007569230769230769,0.7212390834460674,43,0,1,0,50,2450,True
14,A,368,91,227500,1685,0.007406593406593407,0.7232652730323594,42,0,1,0,50,2450,True
14,B,374,91,227500,1698,0.007463736263736264,0.7243491085808973,41,0,1,0,50,2450,True
