variant,cc200_label,mni_x,mni_y,mni_z,ho_cortical,ho_subcortical,anat,yeo,signal_poor
primary_top50,40,0.6,-41.8,-59.8,Background,Brain-Stem,Brain-Stem,None,True
primary_top50,143,9.4,68.1,0.0,Frontal Pole,Right Cerebral Cortex,Frontal Pole,None,True
primary_top50,37,2.0,-79.0,7.8,Intracalcarine Cortex,Right Cerebral Cortex,Intracalcarine Cortex,None,False
primary_top50,194,15.1,-75.1,53.1,"Lateral Occipital Cortex, superior division",Right Cerebral Cortex,"Lateral Occipital Cortex, superior division",None,False
primary_top50,182,26.4,62.6,9.5,Frontal Pole,Right Cerebral Cortex,Frontal Pole,None,True
primary_top50,154,-0.8,-56.1,45.6,Precuneous Cortex,Left Cerebral Cortex,Precuneous Cortex,None,False
primary_top50,38,-31.9,57.6,-12.4,Frontal Pole,Left Cerebral Cortex,Frontal Pole,None,True
primary_top50,21,-13.8,-63.5,65.1,"Lateral Occipital Cortex, superior division",Left Cerebral Cortex,"Lateral Occipital Cortex, superior division",None,False
primary_top50,186,-4.7,-28.3,72.7,Precentral Gyrus,Left Cerebral Cortex,Precentral Gyrus,None,False
primary_top50,90,9.3,61.2,25.7,Frontal Pole,Right Cerebral Cortex,Frontal Pole,None,True
primary_top50,28,-10.4,-89.4,34.2,Occipital Pole,Left Cerebral Cortex,Occipital Pole,None,False
primary_top50,193,-34.2,-73.5,49.0,"Lateral Occipital Cortex, superior division",Left Cerebral Cortex,"Lateral Occipital Cortex, superior division",None,False
primary_top50,198,-9.7,61.4,-16.4,Frontal Pole,Left Cerebral Cortex,Frontal Pole,None,True
primary_top50,80,-0.6,-41.7,28.4,"Cingulate Gyrus, posterior division",Left Cerebral Cortex,"Cingulate Gyrus, posterior division",None,False
primary_top50,96,-9.4,-98.0,-10.2,Occipital Pole,Left Cerebral Cortex,Occipital Pole,None,False
primary_top50,161,38.8,-68.4,52.0,"Lateral Occipital Cortex, superior division",Right Cerebral Cortex,"Lateral Occipital Cortex, superior division",None,False
primary_top50,101,15.1,-16.1,73.7,Precentral Gyrus,Right Cerebral Cortex,Precentral Gyrus,None,False
primary_top50,103,-33.3,-48.5,66.0,Superior Parietal Lobule,Left Cerebral Cortex,Superior Parietal Lobule,None,False
primary_top50,115,41.0,51.0,4.5,Frontal Pole,Right Cerebral Cortex,Frontal Pole,None,True
primary_top50,136,63.5,-24.1,25.8,"Supramarginal Gyrus, anterior division",Right Cerebral Cortex,"Supramarginal Gyrus, anterior division",None,False
primary_top50,127,-48.8,-72.7,29.6,"Lateral Occipital Cortex, superior division",Left Cerebral Cortex,"Lateral Occipital Cortex, superior division",None,False
