panel,index,atlas_id,network
ABIDE,0,108,Unlabelled
ABIDE,1,57,Unlabelled
ABIDE,2,90,Default
ABIDE,3,21,Default
ABIDE,4,138,Default
ABIDE,5,182,Cont
ABIDE,6,85,Unlabelled
ABIDE,7,173,Default
ABIDE,8,81,Default
ABIDE,9,80,Vis
ABIDE,10,88,Vis
ABIDE,11,45,Default
ABIDE,12,50,Default
ABIDE,13,2,Default
ABIDE,14,41,Cont
ABIDE,15,43,Vis
ABIDE,16,104,Vis
ABIDE,17,168,Cont
ABIDE,18,11,Cont
ABIDE,19,112,Cont
ABIDE,20,198,Unlabelled
ABIDE,21,74,Cont
ABIDE,22,93,Unlabelled
ABIDE,23,162,DorsAttn
ABIDE,24,146,Cont
ABIDE,25,69,Vis
ABIDE,26,194,Vis
ABIDE,27,33,DorsAttn
ABIDE,28,53,Vis
ABIDE,29,123,Cont
ABIDE,30,192,Default
ABIDE,31,180,Default
ABIDE,32,29,Unlabelled
ABIDE,33,141,Vis
ABIDE,34,22,Cont
ABIDE,35,130,Vis
ABIDE,36,183,SalVentAttn
ABIDE,37,101,Vis
ABIDE,38,24,Cont
ABIDE,39,103,Default
ABIDE,40,166,Cont
ABIDE,41,115,DorsAttn
ABIDE,42,107,Vis
ABIDE,43,118,SalVentAttn
ABIDE,44,150,Cont
ABIDE,45,23,SalVentAttn
ABIDE,46,73,Default
ABIDE,47,165,Default
ABIDE,48,176,Vis
ABIDE,49,39,Cont
ADHD200,0,40,Unlabelled
ADHD200,1,98,Cont
ADHD200,2,143,Limbic
ADHD200,3,37,Vis
ADHD200,4,43,DorsAttn
ADHD200,5,133,Default
ADHD200,6,194,DorsAttn
ADHD200,7,182,Default
ADHD200,8,154,Default
ADHD200,9,165,SomMot
ADHD200,10,20,SomMot
ADHD200,11,38,Limbic
ADHD200,12,21,DorsAttn
ADHD200,13,186,SomMot
ADHD200,14,90,Default
ADHD200,15,28,Vis
ADHD200,16,193,Default
ADHD200,17,99,Default
ADHD200,18,198,Limbic
ADHD200,19,140,DorsAttn
ADHD200,20,80,Default
ADHD200,21,135,Unlabelled
ADHD200,22,96,Vis
ADHD200,23,161,Cont
ADHD200,24,101,SomMot
ADHD200,25,103,DorsAttn
ADHD200,26,115,Cont
ADHD200,27,136,SalVentAttn
ADHD200,28,127,Default
ADHD200,29,155,SomMot
ADHD200,30,149,Cont
ADHD200,31,146,Vis
ADHD200,32,56,SomMot
ADHD200,33,47,DorsAttn
ADHD200,34,16,Default
ADHD200,35,100,Default
ADHD200,36,29,Vis
ADHD200,37,48,Default
ADHD200,38,139,Default
ADHD200,39,63,Default
ADHD200,40,166,Cont
ADHD200,41,32,SomMot
ADHD200,42,117,SomMot
ADHD200,43,190,Vis
ADHD200,44,114,SomMot
ADHD200,45,51,DorsAttn
ADHD200,46,116,Cont
ADHD200,47,27,Cont
ADHD200,48,172,SomMot
ADHD200,49,150,SalVentAttn
AOMIC,0,146,DorsAttn
AOMIC,1,114,Vis
AOMIC,2,198,Default
AOMIC,3,96,Default
AOMIC,4,98,Default
AOMIC,5,81,Default
AOMIC,6,80,Default
AOMIC,7,150,SalVentAttn
AOMIC,8,84,Default
AOMIC,9,99,Default
AOMIC,10,2,Vis
AOMIC,11,153,SalVentAttn
AOMIC,12,110,Vis
AOMIC,13,88,Default
AOMIC,14,151,SalVentAttn
AOMIC,15,93,Default
AOMIC,16,134,DorsAttn
AOMIC,17,50,SalVentAttn
AOMIC,18,70,Cont
AOMIC,19,97,Default
AOMIC,20,32,DorsAttn
AOMIC,21,178,Cont
AOMIC,22,49,SalVentAttn
AOMIC,23,90,Default
AOMIC,24,60,Cont
AOMIC,25,47,SalVentAttn
AOMIC,26,41,DorsAttn
AOMIC,27,59,Limbic
AOMIC,28,91,Default
AOMIC,29,5,Vis
AOMIC,30,72,Cont
AOMIC,31,95,Default
AOMIC,32,75,Default
AOMIC,33,192,Default
AOMIC,34,86,Default
AOMIC,35,199,Default
AOMIC,36,69,Cont
AOMIC,37,76,Default
AOMIC,38,40,DorsAttn
AOMIC,39,176,Cont
AOMIC,40,140,DorsAttn
AOMIC,41,85,Default
AOMIC,42,94,Default
AOMIC,43,172,Cont
AOMIC,44,51,SalVentAttn
AOMIC,45,159,Limbic
AOMIC,46,82,Default
AOMIC,47,68,Cont
AOMIC,48,92,Default
AOMIC,49,87,Default
