region_id,network
0,Vis
4,Vis
5,Vis
20,SomMot
23,SomMot
26,SomMot
32,DorsAttn
37,DorsAttn
38,DorsAttn
42,DorsAttn
43,SalVentAttn
44,SalVentAttn
45,SalVentAttn
47,SalVentAttn
55,Limbic
56,Limbic
57,Limbic
67,Cont
71,Cont
73,Default
75,Default
86,Default
89,Default
93,Default
98,Default
99,Default
100,Vis
104,Vis
110,Vis
112,Vis
115,SomMot
117,SomMot
123,SomMot
128,SomMot
129,SomMot
133,SomMot
141,DorsAttn
146,DorsAttn
157,SalVentAttn
167,Cont
170,Cont
172,Cont
177,Cont
178,Cont
180,Cont
183,Default
190,Default
193,Default
194,Default
196,Default
