source,target,observed,expected,obs_over_exp
Vis,Vis,11,4.389,2.507
Vis,SomMot,15,6.583,2.279
Vis,DorsAttn,3,4.389,0.684
Vis,SalVentAttn,10,3.657,2.734
Vis,Limbic,6,2.194,2.734
Vis,Cont,8,5.851,1.367
Vis,Default,5,8.777,0.57
SomMot,Vis,9,6.583,1.367
SomMot,SomMot,15,7.523,1.994
SomMot,DorsAttn,7,5.642,1.241
SomMot,SalVentAttn,9,4.702,1.914
SomMot,Limbic,0,2.821,0.0
SomMot,Cont,3,7.523,0.399
SomMot,Default,10,11.285,0.886
DorsAttn,Vis,14,4.389,3.19
DorsAttn,SomMot,2,5.642,0.354
DorsAttn,DorsAttn,3,3.135,0.957
DorsAttn,SalVentAttn,2,3.135,0.638
DorsAttn,Limbic,0,1.881,0.0
DorsAttn,Cont,0,5.016,0.0
DorsAttn,Default,3,7.523,0.399
SalVentAttn,Vis,9,3.657,2.461
SalVentAttn,SomMot,3,4.702,0.638
SalVentAttn,DorsAttn,3,3.135,0.957
SalVentAttn,SalVentAttn,3,2.09,1.436
SalVentAttn,Limbic,0,1.567,0.0
SalVentAttn,Cont,6,4.18,1.436
SalVentAttn,Default,9,6.269,1.436
Limbic,Vis,3,2.194,1.367
Limbic,SomMot,0,2.821,0.0
Limbic,DorsAttn,0,1.881,0.0
Limbic,SalVentAttn,0,1.567,0.0
Limbic,Limbic,0,0.627,0.0
Limbic,Cont,1,2.508,0.399
Limbic,Default,1,3.762,0.266
Cont,Vis,9,5.851,1.538
Cont,SomMot,4,7.523,0.532
Cont,DorsAttn,6,5.016,1.196
Cont,SalVentAttn,4,4.18,0.957
Cont,Limbic,1,2.508,0.399
Cont,Cont,8,5.851,1.367
Cont,Default,8,10.031,0.798
Default,Vis,6,8.777,0.684
Default,SomMot,1,11.285,0.089
Default,DorsAttn,7,7.523,0.93
Default,SalVentAttn,3,6.269,0.479
Default,Limbic,2,3.762,0.532
Default,Cont,10,10.031,0.997
Default,Default,14,13.793,1.015
