dropped_site,n_pairs,rho_diag,p_diag,rho_off,p_off
CALTECH,78,0.9603571323302161,6.549586385705169e-44,0.2603136825836062,0.021349459161831577
KKI,78,0.9393730880528147,4.559808776326994e-37,0.08335950329938233,0.4680906114392968
LEUVEN_2,78,0.9450342298766509,1.2210589015737807e-38,0.1582139178199117,0.16651809688946656
MAX_MUN,78,0.9465970553329922,4.200142875899345e-39,0.3029228725044113,0.007021920035223757
NYU,78,0.9607821602391223,4.382396861118316e-44,0.2212375327854486,0.0515868697992778
PITT,78,0.9511591344975355,1.5351703437960495e-40,0.17206875307064814,0.13196582912772162
SDSU,78,0.9565706115220225,1.9565152135599722e-42,0.12177328931892939,0.28820505228481913
STANFORD,78,0.9587776260536339,2.807942045452514e-43,0.10669309292172238,0.352509888123081
TRINITY,78,0.9617831150655791,1.6711519512374905e-44,0.17516618384003377,0.1250455923348079
UCLA_1,78,0.9451182045465135,1.1539297570581148e-38,0.04235120490541207,0.7127523492993543
UM_1,78,0.9603285063316951,6.728187383778994e-44,0.16062512607982427,0.16006903367224928
UM_2,78,0.9566486032577683,1.829966301160791e-42,0.1776576261713711,0.11968329578463972
USM,78,0.9558102509065141,3.7311393246684125e-42,0.22315135425855326,0.04954863756036477
YALE,78,0.9566889100400495,1.7677220260762022e-42,0.19078947936219331,0.09428589849123753
